train_loss,train_accuracy,epoch,step,test_loss,test_accuracy
4.374587535858154,0.008064515888690948,0,0,,
3.619730234146118,0.612633228302002,0,1,,
2.934457778930664,0.6424791216850281,0,2,,
2.516491174697876,0.6249006986618042,0,3,,
2.1111397743225098,0.654719889163971,1,4,,
1.9544563293457031,0.6534598469734192,1,5,,
1.915777564048767,0.6426771283149719,1,6,,
1.688588261604309,0.6798824071884155,1,7,,
1.5915521383285522,0.6956905126571655,2,8,,
1.7293989658355713,0.6632164716720581,2,9,,
1.6709990501403809,0.6719470024108887,2,10,,
1.5944437980651855,0.6809947490692139,2,11,,
1.611588716506958,0.671118974685669,3,12,,
1.5270380973815918,0.6819016337394714,3,13,,
1.4539495706558228,0.6885260939598083,3,14,,
1.5164839029312134,0.6652033925056458,3,15,,
1.4344303607940674,0.6699128746986389,4,16,,
1.3968054056167603,0.6655566096305847,4,17,,
1.407578706741333,0.6530277729034424,4,18,,
1.3310571908950806,0.6703678965568542,4,19,,
,,4,20,1.331963300704956,0.6654737591743469
