train_loss,train_accuracy,epoch,step,test_loss,test_accuracy
4.280515193939209,0.005472350399941206,0,0,,
3.533961772918701,0.4649697542190552,0,1,,
2.985271453857422,0.5867835283279419,0,2,,
2.4435551166534424,0.6124066710472107,0,3,,
2.0651979446411133,0.6264761090278625,1,4,,
2.0459325313568115,0.5841913819313049,1,5,,
1.744462251663208,0.46363767981529236,1,6,,
1.6970371007919312,0.5132687091827393,1,7,,
1.7000762224197388,0.5429147481918335,2,8,,
1.631925344467163,0.5141488909721375,2,9,,
1.6533821821212769,0.6056667566299438,2,10,,
1.6525319814682007,0.6398180723190308,2,11,,
1.547757625579834,0.5208813548088074,3,12,,
1.7189395427703857,0.6269621253013611,3,13,,
1.5615593194961548,0.5629860162734985,3,14,,
1.4474713802337646,0.5196051001548767,3,15,,
1.458274483680725,0.5213133692741394,4,16,,
1.4755655527114868,0.5143288969993591,4,17,,
1.4993165731430054,0.5606458783149719,4,18,,
1.3999370336532593,0.6733275055885315,4,19,,
,,4,20,1.3774833679199219,0.6641813516616821
